State,County Code,County,Unemployment 2018,Median Income 2018
Alabama,1000,Alabama,3.9,"$49,881"
Alabama,1001,"Autauga County, AL",3.6,"$59,338"
Alabama,1003,"Baldwin County, AL",3.6,"$57,588"
Alabama,1005,"Barbour County, AL",5.1,"$34,382"
Alabama,1007,"Bibb County, AL",3.9,"$46,064"
Alabama,1009,"Blount County, AL",3.5,"$50,412"
Alabama,1011,"Bullock County, AL",4.6,"$29,267"
Alabama,1013,"Butler County, AL",4.7,"$37,365"
Alabama,1015,"Calhoun County, AL",4.6,"$45,400"
Alabama,1017,"Chambers County, AL",3.8,"$39,917"
Alabama,1019,"Cherokee County, AL",3.5,"$42,132"
Alabama,1021,"Chilton County, AL",3.6,"$47,547"
Alabama,1023,"Choctaw County, AL",5.4,"$39,907"
Alabama,1025,"Clarke County, AL",7.4,"$40,741"
Alabama,1027,"Clay County, AL",3.8,"$39,201"
Alabama,1029,"Cleburne County, AL",4.2,"$46,495"
Alabama,1031,"Coffee County, AL",3.9,"$55,122"
Alabama,1033,"Colbert County, AL",4.5,"$49,055"
Alabama,1035,"Conecuh County, AL",5.1,"$32,613"
Alabama,1037,"Coosa County, AL",4.1,"$42,423"
Alabama,1039,"Covington County, AL",4.5,"$40,203"
Alabama,1041,"Crenshaw County, AL",4,"$39,057"
Alabama,1043,"Cullman County, AL",3.2,"$45,796"
Alabama,1045,"Dale County, AL",4.1,"$45,309"
Alabama,1047,"Dallas County, AL",6.4,"$34,035"
Alabama,1049,"DeKalb County, AL",3.8,"$39,491"
Alabama,1051,"Elmore County, AL",3.4,"$60,367"
Alabama,1053,"Escambia County, AL",4.5,"$38,418"
Alabama,1055,"Etowah County, AL",4,"$44,903"
Alabama,1057,"Fayette County, AL",4,"$39,254"
Alabama,1059,"Franklin County, AL",3.7,"$39,388"
Alabama,1061,"Geneva County, AL",3.9,"$37,823"
Alabama,1063,"Greene County, AL",6.6,"$28,524"
Alabama,1065,"Hale County, AL",5,"$34,724"
Alabama,1067,"Henry County, AL",4.4,"$46,027"
Alabama,1069,"Houston County, AL",4,"$47,993"
Alabama,1071,"Jackson County, AL",4,"$41,929"
Alabama,1073,"Jefferson County, AL",3.7,"$55,013"
Alabama,1075,"Lamar County, AL",3.7,"$40,936"
Alabama,1077,"Lauderdale County, AL",4.1,"$48,707"
Alabama,1079,"Lawrence County, AL",4.1,"$43,909"
Alabama,1081,"Lee County, AL",3.6,"$48,937"
Alabama,1083,"Limestone County, AL",3.5,"$64,863"
Alabama,1085,"Lowndes County, AL",7.2,"$33,973"
Alabama,1087,"Macon County, AL",5.3,"$32,495"
Alabama,1089,"Madison County, AL",3.4,"$63,755"
Alabama,1091,"Marengo County, AL",4.9,"$37,733"
Alabama,1093,"Marion County, AL",4,"$37,887"
Alabama,1095,"Marshall County, AL",3.3,"$46,233"
Alabama,1097,"Mobile County, AL",4.6,"$43,598"
Alabama,1099,"Monroe County, AL",6,"$39,556"
Alabama,1101,"Montgomery County, AL",3.9,"$49,640"
Alabama,1103,"Morgan County, AL",3.4,"$52,797"
Alabama,1105,"Perry County, AL",6.4,"$26,814"
Alabama,1107,"Pickens County, AL",4.5,"$37,586"
Alabama,1109,"Pike County, AL",4.5,"$37,259"
Alabama,1111,"Randolph County, AL",4,"$40,546"
Alabama,1113,"Russell County, AL",4,"$39,104"
Alabama,1115,"St. Clair County, AL",3.4,"$57,284"
Alabama,1117,"Shelby County, AL",2.8,"$75,663"
Alabama,1119,"Sumter County, AL",5.7,"$27,859"
Alabama,1121,"Talladega County, AL",4.2,"$41,630"
Alabama,1123,"Tallapoosa County, AL",4.1,"$42,205"
Alabama,1125,"Tuscaloosa County, AL",3.6,"$52,557"
Alabama,1127,"Walker County, AL",4.2,"$45,434"
Alabama,1129,"Washington County, AL",5.7,"$44,424"
Alabama,1131,"Wilcox County, AL",9.4,"$25,385"
Alabama,1133,"Winston County, AL",4.1,"$41,156"
Alaska,2000,Alaska,6.5,"$74,912"
Alaska,2013,"Aleutians East Borough, AK",3.1,"$70,081"
Alaska,2016,"Aleutians West Census Area, AK",3.5,"$82,633"
Alaska,2020,"Anchorage Borough/municipality, AK",5.4,"$82,113"
Alaska,2050,"Bethel Census Area, AK",12.7,"$44,304"
Alaska,2060,"Bristol Bay Borough, AK",6.1,"$77,257"
Alaska,2068,"Denali Borough, AK",7.8,"$75,477"
Alaska,2070,"Dillingham Census Area, AK",8,"$54,524"
Alaska,2090,"Fairbanks North Star Borough, AK",5.7,"$74,268"
Alaska,2100,"Haines Borough, AK",9.6,"$58,943"
Alaska,2105,"Hoonah-Angoon Census Area, AK",12.4,"$51,188"
Alaska,2110,"Juneau Borough/city, AK",4.3,"$79,173"
Alaska,2122,"Kenai Peninsula Borough, AK",7.5,"$65,439"
Alaska,2130,"Ketchikan Gateway Borough, AK",6,"$68,309"
Alaska,2150,"Kodiak Island Borough, AK",5.8,"$74,109"
Alaska,2164,"Lake and Peninsula Borough, AK",10.9,"$49,403"
Alaska,2170,"Matanuska-Susitna Borough, AK",7.4,"$74,649"
Alaska,2180,"Nome Census Area, AK",11.3,"$55,318"
Alaska,2185,"North Slope Borough, AK",6.8,"$89,276"
Alaska,2188,"Northwest Arctic Borough, AK",13.6,"$59,337"
Alaska,2220,"Sitka Borough/city, AK",4.1,"$71,825"
Alaska,2230,"Skagway Borough/municipality, AK",9.4,"$74,635"
Alaska,2240,"Southeast Fairbanks Census Area, AK",9.5,"$63,527"
Alaska,2261,"Valdez-Cordova Census Area, AK",7.2,"$68,528"
Alaska,2282,"Yakutat Borough/city, AK",8.1,"$59,523"
Alaska,2290,"Yukon-Koyukuk Census Area, AK",14.6,"$38,912"
Arizona,4000,Arizona,4.7,"$59,079"
Arizona,4001,"Apache County, AZ",9.8,"$33,652"
Arizona,4003,"Cochise County, AZ",5.5,"$49,164"
Arizona,4005,"Coconino County, AZ",5.4,"$60,187"
Arizona,4007,"Gila County, AZ",5.7,"$43,585"
Arizona,4009,"Graham County, AZ",5,"$50,157"
Arizona,4011,"Greenlee County, AZ",4.1,"$65,818"
Arizona,4012,"La Paz County, AZ",6.1,"$37,350"
Arizona,4013,"Maricopa County, AZ",4.1,"$65,234"
Arizona,4015,"Mohave County, AZ",5.6,"$45,129"
Arizona,4017,"Navajo County, AZ",7.6,"$40,650"
Arizona,4019,"Pima County, AZ",4.4,"$53,395"
Arizona,4021,"Pinal County, AZ",4.9,"$58,848"
Arizona,4023,"Santa Cruz County, AZ",9.1,"$40,545"
Arizona,4025,"Yavapai County, AZ",4.4,"$48,758"
Arizona,4027,"Yuma County, AZ",16.7,"$44,116"
Arkansas,5000,Arkansas,3.6,"$47,094"
Arkansas,5001,"Arkansas County, AR",3.3,"$43,887"
