FIPS,County,Latitude,Longitude
1001,Autauga,+32.536382°,–86.644490°
1003,Baldwin,+30.659218°,–87.746067°
1005,Barbour,+31.870670°,–85.405456°
1007,Bibb,+33.015893°,–87.127148°
1009,Blount,+33.977448°,–86.567246°
1011,Bullock,+32.101759°,–85.717261°
1013,Butler,+31.751667°,–86.681969°
1015,Calhoun,+33.771706°,–85.822513°
1017,Chambers,+32.917943°,–85.391812°
1019,Cherokee,+34.069515°,–85.654242°
1021,Chilton,+32.854060°,–86.726628°
1023,Choctaw,+31.991008°,–88.248887°
1025,Clarke,+31.685521°,–87.818624°
1027,Clay,+33.267809°,–85.862051°
1029,Cleburne,+33.671981°,–85.516109°
1031,Coffee,+31.402183°,–85.989201°
1033,Colbert,+34.703112°,–87.801457°
1035,Conecuh,+31.428293°,–86.992029°
1037,Coosa,+32.931445°,–86.243482°
1039,Covington,+31.243987°,–86.448721°
1041,Crenshaw,+31.732826°,–86.319222°
1043,Cullman,+34.131923°,–86.869267°
1045,Dale,+31.430654°,–85.609476°
1047,Dallas,+32.333540°,–87.114356°
1049,DeKalb,+34.460929°,–85.803992°
1051,Elmore,+32.597229°,–86.142739°
1053,Escambia,+31.121748°,–87.168429°
1055,Etowah,+34.047638°,–86.034420°
1057,Fayette,+33.732249°,–87.752049°
1059,Franklin,+34.441988°,–87.842815°
1061,Geneva,+31.090866°,–85.824346°
1063,Greene,+32.844497°,–87.964201°
1065,Hale,+32.752796°,–87.623061°
1067,Henry,+31.516978°,–85.239971°
1069,Houston,+31.158193°,–85.296398°
1071,Jackson,+34.763522°,–85.977400°
1073,Jefferson,+33.553444°,–86.896536°
1075,Lamar,+33.787085°,–88.087431°
1077,Lauderdale,+34.904122°,–87.650997°
1079,Lawrence,+34.529776°,–87.321865°
1081,Lee,+32.604064°,–85.353048°
1083,Limestone,+34.810239°,–86.981400°
1085,Lowndes,+32.147888°,–86.650586°
1087,Macon,+32.387027°,–85.692887°
1089,Madison,+34.764238°,–86.551080°
1091,Marengo,+32.247591°,–87.791091°
1093,Marion,+34.138219°,–87.881551°
1095,Marshall,+34.309564°,–86.321668°
1097,Mobile,+30.684573°,–88.196568°
1099,Monroe,+31.580332°,–87.383266°
1101,Montgomery,+32.203651°,–86.203831°
1103,Morgan,+34.454484°,–86.846402°
1105,Perry,+32.639005°,–87.293827°
1107,Pickens,+33.296809°,–88.096878°
1109,Pike,+31.798726°,–85.941997°
1111,Randolph,+33.296475°,–85.464068°
1113,Russell,+32.289811°,–85.186980°
1115,St. Clair,+33.712963°,–86.315663°
1117,Shelby,+33.262937°,–86.678104°
1119,Sumter,+32.597481°,–88.200057°
1121,Talladega,+33.369277°,–86.175805°
1123,Tallapoosa,+32.863369°,–85.799553°
1125,Tuscaloosa,+33.290202°,–87.522860°
1127,Walker,+33.791571°,–87.301092°
1129,Washington,+31.406974°,–88.202078°
1131,Wilcox,+31.990330°,–87.302205°
1133,Winston,+34.155888°,–87.364147°
2013,Aleutians East,+55.243722°,–161.950749°
2016,Aleutians West [4],+51.959447°,–178.338813°
2020,Anchorage,+61.177549°,–149.274354°
2050,Bethel [4],+60.928916°,–160.153350°
2060,Bristol Bay,+58.731373°,–156.986612°
2068,Denali,+63.682732°,–150.026719°
2070,Dillingham [4],+59.824816°,–158.602233°
2090,Fairbanks North Star,+64.690832°,–146.599867°
2100,Haines,+59.099905°,–135.578102°
2105,Hoonah-Angoon [4],+58.076434°,–135.185100°
2110,Juneau,+58.372700°,–134.178781°
2122,Kenai Peninsula,+60.366373°,–152.321973°
2130,Ketchikan Gateway,+55.449938°,–131.106685°
2150,Kodiak Island,+57.553611°,–153.630911°
2164,Lake and Peninsula,+58.205065°,–156.705188°
2170,Matanuska-Susitna,+62.182174°,–149.407974°
2180,Nome [4],+64.783686°,–164.188912°
2185,North Slope,+69.449343°,–153.472830°
2188,Northwest Arctic,+67.005066°,–160.021086°
2195,Petersburg [4],+56.639612°,–133.527996°
2198,Prince of Wales-Hyder [4],+55.415683°,–132.875734°
2220,Sitka,+57.142509°,–135.332624°
2230,Skagway,+59.575097°,–135.335418°
2240,Southeast Fairbanks [4],+63.864997°,–143.218628°
2261,Valdez-Cordova [4],+61.349840°,–145.023141°
2270,Wade Hampton [4],+62.283174°,–163.190950°
2275,Wrangell,+56.279121°,–132.040326°
2282,Yakutat,+59.999083°,–140.239593°
2290,Yukon-Koyukuk [4],+65.376131°,–151.576855°
4001,Apache,+35.385845°,–109.493747°
4003,Cochise,+31.881793°,–109.754120°
4005,Coconino,+35.829692°,–111.773728°
4007,Gila,+33.789618°,–110.811870°
4009,Graham,+32.931828°,–109.878310°
4011,Greenlee,+33.238872°,–109.242323°
4012,La Paz,+33.727625°,–114.038793°
4013,Maricopa,+33.346541°,–112.495534°
4015,Mohave,+35.717705°,–113.749689°
4017,Navajo,+35.390934°,–110.320908°
4019,Pima,+32.128237°,–111.783018°
4021,Pinal,+32.918910°,–111.367257°
4023,Santa Cruz,+31.525904°,–110.845190°
4025,Yavapai,+34.630044°,–112.573745°
4027,Yuma,+32.773942°,–113.910905°
5001,Arkansas,+34.289574°,–91.376547°
5003,Ashley,+33.190835°,–91.772267°
5005,Baxter,+36.280710°,–92.330438°
5007,Benton,+36.337825°,–94.256187°
5009,Boone,+36.304308°,–93.079204°
5011,Bradley,+33.463819°,–92.168164°
5013,Calhoun,+33.560460°,–92.513879°
5015,Carroll,+36.337774°,–93.541663°
5017,Chicot,+33.267139°,–91.297158°
5019,Clark,+34.053312°,–93.176205°
5021,Clay,+36.367302°,–90.418704°
5023,Cleburne,+35.566288°,–92.059974°
5025,Cleveland,+33.893201°,–92.188714°
5027,Columbia,+33.215070°,–93.226901°
5029,Conway,+35.265702°,–92.689248°
5031,Craighead,+35.828268°,–90.630411°
5033,Crawford,+35.583041°,–94.236224°
5035,Crittenden,+35.211878°,–90.315331°
5037,Cross,+35.291259°,–90.773894°
5039,Dallas,+33.967823°,–92.653999°
5041,Desha,+33.828748°,–91.244427°
5043,Drew,+33.587242°,–91.722778°
5045,Faulkner,+35.146356°,–92.324654°
5047,Franklin,+35.508573°,–93.887672°
5049,Fulton,+36.383443°,–91.819239°
5051,Garland,+34.578861°,–93.146915°
5053,Grant,+34.288063°,–92.423984°
5055,Greene,+36.119922°,–90.565241°
5057,Hempstead,+33.728611°,–93.665809°
5059,Hot Spring,+34.315177°,–92.944147°
5061,Howard,+34.083179°,–93.990988°
5063,Independence,+35.737499°,–91.559942°
5065,Izard,+36.094879°,–91.913625°
5067,Jackson,+35.596605°,–91.223178°
5069,Jefferson,+34.277696°,–91.930701°
5071,Johnson,+35.573359°,–93.466322°
5073,Lafayette,+33.240660°,–93.611643°
5075,Lawrence,+36.041098°,–91.101153°
5077,Lee,+34.779750°,–90.779288°
5079,Lincoln,+33.957665°,–91.727624°
5081,Little River,+33.699497°,–94.229774°
5083,Logan,+35.218550°,–93.720563°
5085,Lonoke,+34.755114°,–91.894132°
5087,Madison,+36.012545°,–93.724053°
5089,Marion,+36.266656°,–92.678588°
5091,Miller,+33.305505°,–93.901509°
5093,Mississippi,+35.766943°,–90.052209°
5095,Monroe,+34.679513°,–91.203314°
5097,Montgomery,+34.545652°,–93.664147°
5099,Nevada,+33.666699°,–93.305072°
5101,Newton,+35.910063°,–93.215084°
5103,Ouachita,+33.591158°,–92.878418°
